,ciphertext,degrees_ranked
162,~014e227db70024ac5c,other
163,~014477c8992c9a0bb3,Bachelors
164,~010f2bc9a4416bd87e,Bachelors
165,~01a9bd46dbc17cf10c,Masters
166,~01a199eb80bb00d183,Masters
167,~016c73c40308ad3f7c,Masters
168,~01450b8f156e1bc00c,Bachelors
169,~016debb2e5b7f8c8e3,Bachelors
170,~011f52e79dfcc893c9,Masters
171,~01ae5ac194985c476d,Masters
172,~01ed0da5d4087e07df,Masters
173,~015bb9c1eeba5cce8c,Masters
174,~015b4d453f8ab56580,Masters
175,~01f5982802426f99c3,
176,~0116285eebde0d4f5a,Masters
177,~01208171e4933cde77,Bachelors
178,~0128c3bc02405634ec,Bachelors
179,~01a2a9532f949d60cf,PhD
180,~0179dbcd7e72b07eba,Bachelors
181,~01e12368427d29cd71,Masters
182,~0182aaddc76c85463a,Masters
183,~01f9b8dc056388b8c5,PhD
184,~01cd23632da72c6d60,Bachelors
185,~0161c433f722f1cb72,Masters
186,~01192b111124e09278,Bachelors
187,~01e488d9251475f080,Masters
188,~01803d9f1ec291eb82,Bachelors
189,~0154d36eff93459047,Bachelors
190,~01a86dd1bfa3cc379c,Bachelors
191,~019384fdfec1928cc4,Masters
192,~01bd68a734ea78b02c,Bachelors
193,~01c8946f6f5d291ac3,
194,~01ce483208ebb6570c,Masters
195,~01bf0cf7ad9bf3a918,Masters
196,~0117f8315ebc3ffb5c,Bachelors
197,~01614db00ce97c7da3,Bachelors
198,~013e6c26afa1c3ff07,Bachelors
199,~0100f010d7bfe37964,PhD
200,~01af0bd8f13121bfb7,Masters
201,~016b3d6128bc2a1725,Bachelors
202,~0156ce4a2079159acc,Masters
203,~0142ba8e9f4d2e18f6,Bachelors
204,~01f1ea0634f7f55df4,Bachelors
205,~0171fd09c923241956,
206,~01e65e8e7221758623,Masters
207,~01665c9c77d4e12b9f,Bachelors
208,~011daac29302cc1400,Masters
209,~01ad451d530b2a534c,Masters
210,~0139b2e01bc6389348,PhD
211,~018e0440fcdc96582e,PhD
212,~0129f41dd6991b17bb,Masters
213,~015d50a2a3c2679f9a,PhD
214,~017c2c0b747ae1cd17,Bachelors
215,~01d49ea9bc83ca06df,PhD
216,~01b1686612b19c14bb,PhD
217,~01c93f738951091863,Masters
218,~01a06cf437c19484f6,PhD
219,~010d566609d29e98c7,Masters
220,~0172df81e3a69c25c4,Bachelors
221,~011f8ef7fee08cb80e,Bachelors
222,~0181ed62ea7d213b98,PhD
223,~0160a40d1d151d142f,Bachelors
224,~011acce399caca0b9a,Bachelors
225,~01301c271a8c82bf76,Bachelors
226,~01f08d51b62c6c26f3,Bachelors
227,~01466f9adaf70e9b61,PhD
228,~01374b36d217bd3253,PhD
229,~0172a258fd5af150cf,
230,~01ac7c6bdef6e7c085,Masters
231,~0153ba78f8704bb6b2,Bachelors
232,~014afaa153e3984d0b,
233,~016e5d138ae4960711,
234,~01503a11a1fee038e4,Bachelors
235,~01b167d9e923e866d6,Masters
236,~017152b504eb45ce0c,Bachelors
237,~0117eda51c8a1d3507,PhD
238,~015cacdace707906a0,Bachelors
239,~015a68ace7beb97fab,PhD
240,~0172c1f780ecde8d3a,PhD
241,~016f9d9258c573efe3,Masters
242,~01f79aa193155e8dd1,Bachelors
243,~01a7a93ba205294552,Bachelors
244,~01791b4f6f6eedefdd,PhD
245,~01d78f60d5bb71e38e,Masters
246,~019aa4e6f16d8a8585,PhD
247,~01c72e064f17ee8800,Bachelors
248,~0103553adf16ebadf5,Bachelors
249,~01c04a0ae00d371ad0,Bachelors
250,~01a5956e2937baa78d,PhD
251,~017f75ace825ea7953,PhD
252,~01946ac69ecfcb6871,
253,~01aef74cde8afaf261,Bachelors
254,~016d60e5e0fc84e009,
255,~0152fa4bb89c7c5ab6,
256,~011c83e4fd26daed44,Masters
257,~019bebc5f2aca72ff7,PhD
258,~01a51e295f6ecb52f6,Bachelors
259,~01583b46294248891b,Masters
260,~01056c9e5a29f9d1b9,PhD
261,~0150896a763ba6a235,Bachelors
262,~0168de80e0e236b396,Masters
263,~01bb9c6f1da23faba2,Masters
264,~01aec4d7593ad2fad3,PhD
265,~016aae7cb84fd45978,Bachelors
266,~01613600051e970477,PhD
267,~01afc4413d7d407c51,Masters
268,~013bf0959576185318,Bachelors
269,~010f4586649b1f7ba3,PhD
270,~01533be8bcb4d34e95,Bachelors
271,~01811bbd1e68e43ac5,Masters
272,~01dd5794f03d788056,Masters
273,~010bc2cd38ef49ba68,Bachelors
274,~011dccc3479870198f,Bachelors
275,~01cdd75297e50e22cf,Masters
276,~01b4b166a94091de0b,Bachelors
277,~01e58b21dc3bfb3fc6,Bachelors
278,~013f4d87a1be36df95,PhD
279,~01a74449664a7481e4,Masters
280,~01f9cbd14bbf68c6e6,Bachelors
281,~01988ae923462414ff,PhD
282,~01e518a1f65064a3fd,Masters
283,~0187f7efe75556f98e,
284,~0181162a4898ff8445,Masters
285,~01c38e3b35d95e3b36,Masters
286,~0125f7e80e7bb6ce11,
287,~016e5a98fafa0d6548,Masters
288,~01308bb9efa8efa4eb,PhD
289,~017526bae57ce4f438,JD
290,~01b19d1b11272d3bd7,PhD
291,~01cbbf2fb3655bc61a,
292,~01e90185406b4cba19,Masters
293,~012329db7d17f14f6c,Masters
294,~013b11a729bfe6f3b1,Masters
295,~01e3a903ec6a987ffe,Bachelors
296,~0149ec536d48250d78,Masters
297,~01972cc696ce36ef1d,Masters
298,~0133a41b03f6d09ba8,Masters
299,~012435c60a0a557048,Bachelors
300,~01a873a23d3d583f75,PhD
301,~01bdb368f23ef2d89e,Masters
302,~01113869ebf5e233dc,PhD
303,~01d3b1b1877f94e00d,Masters
304,~01700b9041b28273ad,Masters
305,~011486d1319f61ed6e,Bachelors
306,~0189709f99f98b2026,PhD
307,~01d4d3db499685813f,Masters
308,~0183583d4546eea3bc,Masters
309,~0108efefa2d2ed92e9,Bachelors
310,~0171a6dd1188a47ced,PhD
311,~01ababfffdfaee49c5,Masters
312,~01f659230f698741b9,Bachelors
313,~0185b7d3465713721e,Bachelors
314,~01ae11b32d6442bcc3,Masters
315,~015c2872bf5f17c792,PhD
316,~012a9d7a34e48e88f8,Masters
317,~01eb228e3f4456a5d5,PhD
318,~01e1f588cfecbefc8a,Bachelors
319,~0161d8f1df429a64fb,Masters
320,~01848b4e280efc71cc,Associates
321,~015255923560bf5d71,Masters
322,~01dafedaa9ceaeac45,Masters
323,~014eb4329f5d2936a5,Masters
324,~016bfa9d3c042f307e,Bachelors
325,~018ddd2e47a3fb26b3,Associates
326,~0129c862a7cb945e57,Masters
327,~01482c5c54a1038b9b,Bachelors
328,~019efe52a956999435,
329,~01fdfcc4c4a60b4403,Bachelors
330,~01d0b466a5da44608a,Masters
331,~01cc7de8a3c825776d,Bachelors
332,~010c07cafc679e98fd,Masters
333,~016d6d4811bb7f49a6,Masters
334,~0102df62799afeaca5,Bachelors
335,~01ad0d5285da4b7ba2,Masters
336,~018cbab6583de8cdd2,Masters
337,~01be7a26bc3f3d9133,Masters
338,~01c01d75795c3c1348,Bachelors
339,~01d9d0ac7516e8d612,Masters
340,~016cfc348c2b6c39a3,Masters
341,~01279f27b227ff39b7,PhD
342,~0107f80220be2bee8e,Masters
343,~01273c17cefccc5f01,PhD
344,~0155c3ce6bc18b8b0f,Masters
345,~01ac66acbc645e40ab,Masters
346,~0150d5665db47315ca,Masters
347,~01eddb6e9efeffc278,MD
348,~01470c61d47f8f3707,Masters
349,~01a32cba49ae347645,PhD
350,~01a4746eeb74983450,Masters
351,~017e15917de4a44e4e,Masters
352,~01f3ac95c16889b669,Masters
353,~01956e385d006d5c5b,Bachelors
354,~016be60153496b21df,Bachelors
355,~019569050301c1d1ab,Masters
356,~01987f92d4b59d1258,Masters
357,~01cb3d944c6e1964c7,
358,~0198f655f63736dea4,Bachelors
359,~0121fa4d40bc0c1a8e,Bachelors
360,~0105150b575f8ccb59,PhD
361,~01f3c951935073d514,Bachelors
362,~015814e3c4f02b3729,Masters
363,~011be6d6f35bfe88bc,
364,~0123bc930964ae3099,Bachelors
365,~011276fc1c6941b14c,Bachelors
366,~01a942456c8ad71960,Masters
367,~011c3d27b30d4c452e,Bachelors
